DUT,EP_Type,l2_result,L2_CIR_TX,L2_CIR_FL,Pol_drop_AR3,Pol_drop_AR5,voq_stat_AR3,voq_stat_AR5
AR3,FF_10000_Mbps_100_Percent,fail,43235512,195326,179271,16055,43082935,43099002
AR3,FF_1000_Mbps_100_Percent,pass,4323496,0,0,0,4327718,4327699
AR3,FF_100_Mbps_100_Percent,pass,432103,0,0,0,432502,432483
AR3,FF_10_Mbps_100_Percent,pass,42936,0,0,0,43317,43328
AR3,FF_2000_Mbps_100_Percent,pass,8647133,0,0,0,8655735,8655717
AR3,FF_200_Mbps_100_Percent,pass,864479,0,0,0,865408,865419
AR3,FF_20_Mbps_100_Percent,pass,86144,0,0,0,86544,86524
AR3,FF_3000_Mbps_100_Percent,pass,12970756,0,0,0,12983437,12983448
AR3,FF_300_Mbps_100_Percent,pass,1296848,0,0,0,1298066,1298048
AR3,FF_30_Mbps_100_Percent,pass,129352,0,0,0,129734,129745
AR3,FF_4000_Mbps_100_Percent,pass,17294129,0,0,0,17311201,17311182
AR3,FF_400_Mbps_100_Percent,pass,1729212,0,0,0,1730957,1730968
AR3,FF_40_Mbps_100_Percent,pass,172840,0,0,0,173234,173215
AR3,FF_5000_Mbps_100_Percent,pass,21617231,0,0,0,21638660,21638671
AR3,FF_500_Mbps_100_Percent,pass,2161600,0,0,0,2163635,2163615
AR3,FF_50_Mbps_100_Percent,pass,216048,0,0,0,216448,216429
AR3,FF_6000_Mbps_100_Percent,pass,25941000,0,0,0,25966538,25966549
AR3,FF_600_Mbps_100_Percent,pass,2593983,0,0,0,2596570,2596550
AR3,FF_60_Mbps_100_Percent,pass,259263,0,0,0,259644,259656
AR3,FF_7000_Mbps_100_Percent,pass,30264632,0,0,0,30294552,30294532
AR3,FF_700_Mbps_100_Percent,pass,3026416,0,0,0,3029257,3029268
AR3,FF_70_Mbps_100_Percent,pass,302472,0,0,0,302871,302852
AR3,FF_8000_Mbps_100_Percent,pass,34588185,0,0,0,34622461,34622472
AR3,FF_800_Mbps_100_Percent,pass,3458743,0,0,0,3462146,3462127
AR3,FF_80_Mbps_100_Percent,pass,345680,0,0,0,346062,346073
AR3,FF_9000_Mbps_100_Percent,pass,38910862,0,0,0,38949253,38949234
AR3,FF_900_Mbps_100_Percent,pass,3891136,0,0,0,3895072,3895083
AR3,FF_90_Mbps_100_Percent,pass,388896,0,0,0,389289,389271
AR3,PX_10000_Mbps_100_Percent,fail,43236502,231041,179430,51616,43048201,43099723
AR3,PX_1000_Mbps_100_Percent,pass,4323568,0,0,0,4327787,4327675
AR3,PX_100_Mbps_100_Percent,pass,432096,0,0,0,432474,432376
AR3,PX_10_Mbps_100_Percent,pass,42936,0,0,0,43326,43217
AR3,PX_2000_Mbps_100_Percent,pass,8647133,0,0,0,8655709,8655615
AR3,PX_200_Mbps_100_Percent,pass,864480,0,0,0,865417,865308
AR3,PX_20_Mbps_100_Percent,pass,86150,0,0,0,86546,86430
AR3,PX_3000_Mbps_100_Percent,pass,12970739,0,0,0,12983424,12983319
AR3,PX_300_Mbps_100_Percent,pass,1296856,0,0,0,1298070,1297955
AR3,PX_30_Mbps_100_Percent,pass,129352,0,0,0,129730,129632
AR3,PX_4000_Mbps_100_Percent,pass,17294049,0,0,0,17311116,17311004
AR3,PX_400_Mbps_100_Percent,pass,1729224,0,0,0,1730964,1730867
AR3,PX_40_Mbps_100_Percent,pass,172840,0,0,0,173236,173120
AR3,PX_5000_Mbps_100_Percent,pass,21617584,0,0,0,21639008,21638914
AR3,PX_500_Mbps_100_Percent,pass,2161598,0,0,0,2163632,2163518
AR3,PX_50_Mbps_100_Percent,pass,216048,0,0,0,216427,216328
AR3,PX_6000_Mbps_100_Percent,pass,25941117,0,0,0,25966657,25966544
AR3,PX_600_Mbps_100_Percent,pass,2593967,0,0,0,2597531,2596434
AR3,PX_60_Mbps_100_Percent,pass,259262,0,0,0,259653,259543
AR3,PX_7000_Mbps_100_Percent,pass,30264665,0,0,0,30294562,30294468
AR3,PX_700_Mbps_100_Percent,pass,3026334,0,0,0,3029179,3029074
AR3,PX_70_Mbps_100_Percent,pass,302472,0,0,0,302868,302752
AR3,PX_8000_Mbps_100_Percent,pass,34589333,0,0,0,34623619,34623513
AR3,PX_800_Mbps_100_Percent,pass,3458704,0,0,0,3462098,3461987
AR3,PX_80_Mbps_100_Percent,pass,345680,0,0,0,346059,345960
AR3,PX_9000_Mbps_100_Percent,pass,38912224,0,0,0,38950613,38950500
AR3,PX_900_Mbps_100_Percent,pass,3891120,0,0,0,3895048,3894954
AR3,PX_90_Mbps_100_Percent,pass,388888,0,0,0,389284,389168
